neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bathrooms_text,amenities,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,host_is_superhost,host_identity_verified,host_response_time,host_since,id,host_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
"València, Comunidad Valenciana, Spain",EL CARME,CIUTAT VELLA,Entire rental unit,Entire home/apt,1 bath,"[""Cleaning products"", ""Ceiling fan"", ""Kitchen"", ""Wine glasses"", ""Single level home"", ""Dishes and silverware"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Babysitter recommendations"", ""Ethernet connection"", ""Hangers"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Heating"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Shampoo"", ""Free dryer \u2013 In unit"", ""Lockbox"", ""32 inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Netflix"", ""Pack \u2019n play/Travel crib"", ""Laundromat nearby"", ""Self check-in"", ""Coffee maker: Nespresso"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Baking sheet"", ""Essentials"", ""Dining table"", ""Extra pillows and blankets"", ""AC - split type ductless system"", ""Private patio or balcony"", ""Stainless steel induction stove"", ""Iron"", ""Smoke alarm"", ""Shower gel"", ""Wifi"", ""Crib - available upon request"", ""Long term stays allowed"", ""Children\u2019s dinnerware"", ""City skyline view"", ""Microwave"", ""First aid kit""]",t,20/06/2025,07/08/2018,08/06/2025,VT 41464 V,t,f,t,within an hour,27/06/2018,26373667.0,198336872,39.47959,-0.3784,3.0,1.0,1.0,2.0,123.0,4.0,99.0,1.0,4.0,99,99,2.6,99.0,8,18,47,235,23.3,19.0,2.0,2.19,4.79,4.81,4.78,4.93,4.93,4.91,4.62,4.0,4.0,0.0,0.0
"Valencia, Comunidad Valenciana, Spain",CAMI FONDO,CAMINS AL GRAU,Private room in home,Private room,2 shared baths,"[""Kitchen"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Oven"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Dishwasher"", ""Stove"", ""Patio or balcony"", ""Shampoo"", ""Paid parking off premises"", ""Cooking basics"", ""Breakfast"", ""Essentials"", ""Gym"", ""Coffee maker"", ""Extra pillows and blankets"", ""Elevator"", ""Iron"", ""Air conditioning"", ""Smoke alarm"", ""Free street parking"", ""Wifi"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Microwave"", ""Waterfront"", ""First aid kit""]",t,20/06/2025,20/08/2019,27/09/2019,Sin licencia,f,f,f,a few days or more,15/04/2018,26389061.0,184361061,39.46595,-0.35579,1.0,1.0,1.0,1.0,15.0,3.2,242.2,1.9,4.7,1125,1125,4.0,1125.0,0,0,0,262,2.0,0.0,0.0,0.03,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,0.0,2.0,0.0
"València, Comunidad Valenciana, Spain",LA MALVA-ROSA,POBLATS MARITIMS,Entire home,Entire home/apt,1 bath,"[""Cleaning products"", ""Backyard"", ""Ceiling fan"", ""Kitchen"", ""Wine glasses"", ""Outdoor dining area"", ""Outdoor shower"", ""Dishes and silverware"", ""Oven"", ""Outdoor furniture"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Beach essentials"", ""Washer"", ""Bed linens"", ""Heating"", ""Ethernet connection"", ""Hangers"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Dishwasher"", ""Stove"", ""Shared gym nearby"", ""Toaster"", ""Shampoo"", ""Coffee"", ""Private entrance"", ""Lockbox"", ""Pack \u2019n play/Travel crib"", ""Courtyard view"", ""Crib"", ""Self check-in"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Pets allowed"", ""Clothing storage: closet"", ""Essentials"", ""Dining table"", ""Pocket wifi"", ""Coffee maker"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Host greets you"", ""High chair"", ""Iron"", ""Air conditioning"", ""Smoke alarm"", ""Beach access \u2013 Beachfront"", ""Free street parking"", ""Wifi"", ""Trash compactor"", ""Long term stays allowed"", ""Mosquito net"", ""City skyline view"", ""Microwave"", ""Waterfront"", ""Noise decibel monitors on property"", ""First aid kit"", ""Private hot tub"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,02/09/2018,05/06/2025,vt-46858 v,f,f,t,within an hour,26/06/2018,26405420.0,198185545,39.48135,-0.32728,6.0,1.0,2.0,2.0,192.0,2.0,242.2,2.0,2.0,1125,1125,2.0,1125.0,3,8,32,32,23.3,23.0,2.0,1.85,4.79,4.8,4.73,4.97,4.99,4.75,4.66,2.0,2.0,0.0,0.0
"València, Comunidad Valenciana, Spain",LA MALVA-ROSA,POBLATS MARITIMS,Entire rental unit,Entire home/apt,1.5 baths,"[""Cleaning products"", ""Kitchen"", ""Bidet"", ""Wine glasses"", ""Single level home"", ""Luggage dropoff allowed"", ""Outdoor shower"", ""Dishes and silverware"", ""Oven"", ""TV with standard cable"", ""Hot water"", ""Refrigerator"", ""Beach essentials"", ""Washer"", ""Bed linens"", ""Heating"", ""Ethernet connection"", ""Hangers"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Mini fridge"", ""Dishwasher"", ""Stove"", ""Shampoo"", ""Toaster"", ""Pack \u2019n play/Travel crib"", ""Laundromat nearby"", ""Crib"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Essentials"", ""Pocket wifi"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Extra pillows and blankets"", ""High chair"", ""Iron"", ""Air conditioning"", ""Smoke alarm"", ""Beach access \u2013 Beachfront"", ""Free street parking"", ""Shower gel"", ""Baby bath"", ""Wifi"", ""Long term stays allowed"", ""Mosquito net"", ""Clothing storage"", ""Microwave"", ""Waterfront"", ""First aid kit"", ""Host greets you"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,29/07/2018,01/09/2024,Sin licencia,t,f,t,within an hour,08/06/2018,26408966.0,194250047,39.48291,-0.32761,5.0,1.0,3.0,3.0,200.0,4.0,242.2,3.0,3.0,1125,1125,3.0,1125.0,1,5,11,13,59.0,9.0,0.0,0.7,4.8,4.83,4.88,4.88,4.88,4.49,4.71,3.0,3.0,0.0,0.0
"València, Comunidad Valenciana, Spain",ELS ORRIOLS,RASCANYA,Private room in rental unit,Private room,1 shared bath,"[""Bathtub"", ""Cleaning products"", ""Exterior security cameras on property"", ""Wifi \u2013 18 Mbps"", ""Kitchen"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Heating - split type ductless system"", ""Bed linens"", ""Hangers"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Stainless steel double oven"", ""Toaster"", ""Laundromat nearby"", ""18 inch TV with standard cable"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Clothing storage: closet"", ""Essentials"", ""Dining table"", ""Extra pillows and blankets"", ""AC - split type ductless system"", ""Iron"", ""Free street parking"", ""Shower gel"", ""Mosquito net"", ""Microwave"", ""First aid kit"", ""Coffee maker: drip coffee maker, espresso machine"", ""Host greets you"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,06/08/2023,10/08/2023,Sin licencia,f,f,t,a few days or more,21/04/2015,26431458.0,31665559,39.5,-0.369576,3.0,1.0,1.0,2.0,81.0,1.0,30.0,1.0,1.0,30,30,1.0,30.0,28,58,88,88,2.0,0.0,0.0,0.09,4.5,4.5,4.5,4.0,4.5,4.0,4.6,2.0,0.0,2.0,0.0
"València, Comunidad Valenciana, Spain",EXPOSICIO,EL PLA DEL REAL,Private room in home,Private room,1 shared bath,"[""Cleaning products"", ""Kitchen"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Stove"", ""Toaster"", ""Laundromat nearby"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Coffee maker: espresso machine"", ""Pets allowed"", ""Essentials"", ""Dining table"", ""Pocket wifi"", ""Hot water kettle"", ""Extra pillows and blankets"", ""Elevator"", ""Iron"", ""Free street parking"", ""Shower gel"", ""Wifi"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Clothing storage"", ""Microwave"", ""Waterfront"", ""Host greets you"", ""Drying rack for clothing"", ""Portable fans""]",t,20/06/2025,31/08/2018,08/06/2025,Sin licencia,f,f,t,within a few hours,01/12/2014,26439382.0,24367730,39.47416,-0.36057,1.0,1.0,1.0,2.0,36.0,7.0,730.0,4.0,4.0,730,730,4.0,730.0,0,27,57,61,7.0,1.0,1.0,0.08,4.86,5.0,4.86,5.0,5.0,4.86,5.0,13.0,0.0,0.3,0.0
"València, Comunidad Valenciana, Spain",RUSSAFA,L'EIXAMPLE,Entire rental unit,Entire home/apt,2 baths,"[""Backyard"", ""Kitchen"", ""Outdoor dining area"", ""Dishes and silverware"", ""Outdoor furniture"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Heating"", ""Hangers"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Stove"", ""Shampoo"", ""Paid parking off premises"", ""Cooking basics"", ""Essentials"", ""Coffee maker"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Elevator"", ""Iron"", ""Air conditioning"", ""Free street parking"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Microwave"", ""Host greets you""]",t,20/06/2025,01/08/2018,09/06/2025,Sin licencia,f,f,t,within an hour,02/07/2018,26527532.0,199515694,39.46306,-0.37249,5.0,1.0,3.0,4.0,161.0,3.0,100.0,3.0,3.0,100,100,3.0,100.0,3,9,15,159,23.3,44.0,3.0,2.83,4.76,4.78,4.65,4.88,4.92,4.92,4.72,1.0,1.0,0.0,0.0
"València, Comunidad Valenciana, Spain",MORVEDRE,LA SAIDIA,Private room in rental unit,Private room,1 shared bath,"[""Backyard"", ""Kitchen"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""50 inch HDTV with HBO Max, Amazon Prime Video"", ""Refrigerator"", ""Washer"", ""BBQ grill"", ""Heating"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Stove"", ""Patio or balcony"", ""Paid parking off premises"", ""Fast wifi \u2013 85 Mbps"", ""Herbal Essences shampoo"", ""Cooking basics"", ""Private living room"", ""Pets allowed"", ""Essentials"", ""Coffee maker"", ""AC - split type ductless system"", ""Elevator"", ""Iron"", ""Smoke alarm"", ""Free street parking"", ""Shower gel"", ""Long term stays allowed"", ""Lock on bedroom door"", ""Smoking allowed"", ""Microwave"", ""First aid kit"", ""Host greets you""]",t,20/06/2025,09/12/2018,01/12/2024,Sin licencia,f,t,t,within an hour,25/08/2016,26586784.0,91866683,39.48369,-0.37801,1.0,1.0,1.0,1.0,50.0,3.2,64.0,1.9,4.7,64,64,4.0,64.0,0,0,6,96,23.3,26.0,0.0,2.85,4.89,4.91,4.73,4.95,4.97,4.82,4.86,2.0,0.0,2.0,0.0
Desconocido,EL CARME,CIUTAT VELLA,Entire rental unit,Entire home/apt,2 baths,"[""Exterior security cameras on property"", ""Kitchen"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Heating"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Shampoo"", ""Private entrance"", ""Pack \u2019n play/Travel crib"", ""Crib"", ""Cooking basics"", ""Pets allowed"", ""Essentials"", ""Coffee maker"", ""Elevator"", ""Private patio or balcony"", ""Paid parking on premises"", ""High chair"", ""Iron"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Central air conditioning"", ""Microwave"", ""Host greets you""]",t,20/06/2025,27/07/2018,19/06/2025,Sin licencia,f,t,t,within a few hours,07/08/2011,26596808.0,933504,39.48013,-0.3801,5.0,1.0,2.0,3.0,121.0,10.0,270.0,4.0,10.0,270,270,9.9,270.0,10,23,24,52,71.0,19.0,3.0,0.84,4.83,4.83,4.76,4.92,4.92,4.92,4.63,4.0,4.0,0.0,0.0
"València, Comunidad Valenciana, Spain",CABANYAL-CANYAMELAR,POBLATS MARITIMS,Entire home,Entire home/apt,2 baths,"[""Kitchen"", ""Bidet"", ""Dishes and silverware"", ""Oven"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Dishwasher"", ""Stove"", ""Toaster"", ""Private entrance"", ""Lockbox"", ""Laundromat nearby"", ""Self check-in"", ""Cooking basics"", ""Clothing storage: closet"", ""Essentials"", ""Dining table"", ""Coffee maker"", ""AC - split type ductless system"", ""Iron"", ""Free street parking"", ""TV"", ""Wifi"", ""Microwave"", ""Drying rack for clothing""]",t,20/06/2025,22/07/2018,21/04/2025,VT-46006-V,f,f,t,within an hour,24/06/2018,26621689.0,197705803,39.46623197,-0.331386319,6.0,1.0,3.0,4.0,143.0,2.0,10.0,2.0,2.0,10,10,2.0,10.0,2,2,7,87,23.3,33.0,0.0,3.91,4.76,4.84,4.71,4.89,4.94,4.78,4.73,1.0,1.0,0.0,0.0
"València, Comunidad Valenciana, Spain",AIORA,CAMINS AL GRAU,Entire rental unit,Entire home/apt,1 bath,"[""Outdoor dining area"", ""Hot water"", ""Refrigerator"", ""Beach essentials"", ""Hockey rink"", ""Hangers"", ""Free washer \u2013 In unit"", ""Fire extinguisher"", ""Outlet covers"", ""Shampoo"", ""Coffee"", ""Courtyard view"", ""Outdoor playground"", ""Laundromat nearby"", ""Crib"", ""Bowling alley"", ""Body soap"", ""Room-darkening shades"", ""Freezer"", ""Clothing storage: closet"", ""Books and reading material"", ""Extra pillows and blankets"", ""High chair"", ""Free street parking"", ""Mosquito net"", ""Changing table"", ""Table corner guards"", ""Hot water kettle"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Private backyard \u2013 Fully fenced"", ""Skate ramp"", ""Bed linens"", ""Children\u2019s books and toys"", ""Children's playroom"", ""Dishwasher"", ""Shared gym nearby"", ""Board games"", ""Cooking basics"", ""Baking sheet"", ""Park view"", ""Conditioner"", ""Dining table"", ""Private patio or balcony"", ""Blender"", ""Iron"", ""Boat slip"", ""Long term stays allowed"", ""Microwave"", ""Housekeeping available 8 hours a day, every day - available at extra cost"", ""First aid kit"", ""Hair dryer"", ""Pack \u2019n play/Travel crib"", ""Pets allowed"", ""Baby bath - available upon request"", ""Essentials"", ""Coffee maker"", ""AC - split type ductless system"", ""EV charger"", ""Smoke alarm"", ""Smoking allowed"", ""City skyline view"", ""Waterfront"", ""Host greets you"", ""Portable fans"", ""Cleaning products"", ""Kitchen"", ""Bidet"", ""Wine glasses"", ""Ski-in/Ski-out"", ""Outdoor shower"", ""Outdoor furniture"", ""Oven"", ""Dedicated workspace"", ""Shared beach access"", ""Drying rack for clothing"", ""Heating - split type ductless system"", ""Babysitter recommendations"", ""Ethernet connection"", ""Carbon monoxide alarm"", ""Lake access"", ""Mini fridge"", ""Private entrance"", ""Movie theater"", ""43 inch HDTV with standard cable"", ""Paid street parking off premises"", ""Climbing wall"", ""Paid resort access"", ""Arcade games"", ""Shower gel"", ""Wifi"", ""Children\u2019s dinnerware"", ""Toaster""]",t,20/06/2025,23/02/2019,17/06/2025,ESFCNT00004606100005555300000000000000000000000000009,t,f,t,within an hour,29/05/2016,26649865.0,74589110,39.46541,-0.33675,6.0,1.0,2.0,4.0,108.0,10.0,60.0,2.0,10.0,1125,1125,9.8,1125.0,2,3,9,135,23.3,24.0,5.0,2.94,4.68,4.81,4.6,4.92,4.9,4.71,4.68,1.0,1.0,0.0,0.0
"València, Comunidad Valenciana, Spain",AIORA,CAMINS AL GRAU,Entire rental unit,Entire home/apt,1 bath,"[""Kitchen"", ""Single level home"", ""Dishes and silverware"", ""Outdoor furniture"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Heating"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Hangers"", ""Dishwasher"", ""Toaster"", ""Laundromat nearby"", ""Self check-in"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Coffee maker: espresso machine"", ""Smart lock"", ""Clothing storage: closet"", ""Essentials"", ""Dining table"", ""58 inch HDTV with Amazon Prime Video"", ""AC - split type ductless system"", ""Private patio or balcony"", ""Elevator"", ""Fast wifi \u2013 271 Mbps"", ""Smoke alarm"", ""Beach access \u2013 Beachfront"", ""Long term stays allowed"", ""Mosquito net"", ""Induction stove"", ""Microwave"", ""Drying rack for clothing"", ""Portable fans""]",t,20/06/2025,22/08/2019,16/06/2025,Sin licencia,f,t,t,within an hour,07/09/2014,26656863.0,21044259,39.46684,-0.34227,4.0,1.0,2.0,2.0,135.0,3.2,90.0,4.0,14.0,1125,1125,13.0,1125.0,0,23,53,234,26.0,7.0,1.0,0.37,4.85,4.88,4.92,4.85,4.92,4.85,4.73,2.0,2.0,0.0,0.0
"València, Comunidad Valenciana, Spain",CABANYAL-CANYAMELAR,POBLATS MARITIMS,Entire home,Entire home/apt,1 bath,"[""Cleaning products"", ""Fast wifi \u2013 480 Mbps"", ""Kitchen"", ""Wine glasses"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Private backyard \u2013 Fully fenced"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Hangers"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Dishwasher"", ""Shampoo"", ""Private entrance"", ""42 inch HDTV"", ""Self check-in"", ""Coffee maker: Nespresso"", ""Building staff"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Clothing storage: closet"", ""Essentials"", ""Hot water kettle"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Iron"", ""Air conditioning"", ""Smoke alarm"", ""Free street parking"", ""Shower gel"", ""Long term stays allowed"", ""Induction stove"", ""Microwave"", ""Waterfront"", ""First aid kit"", ""Toaster"", ""Portable fans""]",t,20/06/2025,28/07/2018,17/06/2025,VT-44612-V,t,t,t,within an hour,25/07/2015,26682882.0,39491825,39.46445,-0.32963,2.0,1.0,1.0,1.0,159.0,1.0,365.0,3.0,14.0,10,14,5.0,10.1,1,10,33,272,23.3,44.0,4.0,2.65,4.97,4.96,4.92,4.99,5.0,4.91,4.85,2.0,2.0,0.0,0.0
"València, Comunidad Valenciana, Spain",MESTALLA,EL PLA DEL REAL,Entire rental unit,Entire home/apt,1 bath,"[""Cleaning products"", ""Kitchen"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Electric stove"", ""Heating"", ""Fire extinguisher"", ""Babysitter recommendations"", ""Hangers"", ""Hair dryer"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Clothing storage: closet"", ""Essentials"", ""Dining table"", ""Coffee maker"", ""Elevator"", ""Iron"", ""Air conditioning"", ""Free street parking"", ""Shower gel"", ""TV"", ""Wifi"", ""Crib - available upon request"", ""Long term stays allowed"", ""Microwave"", ""First aid kit"", ""Toaster"", ""Hot water kettle""]",t,20/06/2025,15/07/2018,01/09/2024,Sin licencia,f,t,t,within an hour,19/10/2014,26711505.0,22730671,39.4739,-0.35467,5.0,1.0,3.0,3.0,125.0,1.0,28.0,1.0,1.0,28,28,1.0,28.0,8,17,24,24,47.0,5.0,0.0,0.56,4.62,4.64,4.68,4.85,4.79,4.64,4.45,4.0,4.0,0.0,0.0
"València, Comunidad Valenciana, Spain",EL PILAR,CIUTAT VELLA,Entire rental unit,Entire home/apt,1 bath,"[""Kitchen"", ""Outdoor dining area"", ""Dishes and silverware"", ""Outdoor furniture"", ""Oven"", ""Dedicated workspace"", ""TV with Chromecast"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Dishwasher"", ""Toaster"", ""Patio or balcony"", ""Paid parking off premises"", ""Private entrance"", ""Lockbox"", ""Pack \u2019n play/Travel crib"", ""Laundromat nearby"", ""Crib"", ""Self check-in"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Essentials"", ""Dining table"", ""Pocket wifi"", ""Coffee maker"", ""Extra pillows and blankets"", ""Elevator"", ""Iron"", ""Free parking on premises"", ""Air conditioning"", ""Wifi"", ""Long term stays allowed"", ""Induction stove"", ""Clothing storage"", ""Children\u2019s dinnerware"", ""City skyline view"", ""Microwave"", ""First aid kit"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,08/12/2019,06/06/2025,VT-42040-v,f,f,t,within an hour,08/02/2014,26724456.0,12055632,39.47125,-0.38084,4.0,1.0,2.0,2.0,160.0,3.0,30.0,1.0,5.0,1125,1125,3.3,1125.0,1,11,23,44,23.3,10.1,5.0,4.44,4.75,4.72,4.61,4.83,4.88,4.87,4.68,3.0,3.0,0.0,0.0
"València, Comunidad Valenciana, Spain",SOTERNES,L'OLIVERETA,Entire rental unit,Entire home/apt,1 bath,"[""Kitchen"", ""Dishes and silverware"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Dryer"", ""Washer"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Patio or balcony"", ""Lockbox"", ""Self check-in"", ""Essentials"", ""Free parking on premises"", ""Iron"", ""32 inch HDTV with Fire TV"", ""Air conditioning"", ""Wifi"", ""Microwave""]",t,20/06/2025,17/08/2018,14/06/2025,Sin licencia,f,t,t,within a few hours,24/10/2011,26730764.0,1328225,39.47162,-0.40983,4.0,1.0,3.0,3.0,68.0,3.2,242.2,1.9,4.7,1125,1125,4.0,1125.0,5,5,16,291,31.0,7.0,1.0,0.37,4.65,4.77,4.65,4.81,4.87,4.52,4.52,1.0,1.0,0.0,0.0
"València, Comunidad Valenciana, Spain",BETERO,POBLATS MARITIMS,Private room in rental unit,Private room,1 private bath,"[""Bathtub"", ""Cleaning products"", ""Ceiling fan"", ""Bidet"", ""Kitchen"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Dedicated workspace"", ""Gas stove"", ""Hot water"", ""Refrigerator"", ""Beach essentials"", ""Bed linens"", ""Hangers"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""60 inch HDTV with Netflix, standard cable"", ""Double oven"", ""Toaster"", ""Shampoo"", ""Free dryer \u2013 In unit"", ""Coffee"", ""Coffee maker: Nespresso, pour-over coffee"", ""Body soap"", ""Room-darkening shades"", ""Fast wifi \u2013 277 Mbps"", ""Cooking basics"", ""Freezer"", ""Clothing storage: closet"", ""Essentials"", ""Dining table"", ""Extra pillows and blankets"", ""Central heating"", ""Private patio or balcony"", ""Elevator"", ""Iron"", ""Free street parking"", ""Shower gel"", ""Lock on bedroom door"", ""Mercadona conditioner"", ""Smoking allowed"", ""Microwave"", ""First aid kit"", ""Host greets you"", ""Drying rack for clothing"", ""Portable fans""]",t,20/06/2025,29/07/2018,08/06/2025,Sin licencia,t,t,t,within an hour,20/06/2016,26748611.0,78807464,39.46955,-0.3389,2.0,1.0,1.0,2.0,60.0,4.0,15.0,4.0,4.0,1125,1125,4.0,1125.0,21,47,47,50,122.0,17.0,1.0,1.45,4.9,4.87,4.93,4.93,4.91,4.7,4.8,1.0,0.0,1.0,0.0
"València, Comunidad Valenciana, Spain",AIORA,CAMINS AL GRAU,Entire rental unit,Entire home/apt,1 bath,"[""High chair - available upon request"", ""Ceiling fan"", ""Kitchen"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Heating - split type ductless system"", ""Washer"", ""Bed linens"", ""Electric stove"", ""Ethernet connection"", ""Hangers"", ""Hair dryer"", ""Toaster"", ""Shampoo"", ""Coffee"", ""Safe"", ""Private entrance"", ""Lockbox"", ""Laundromat nearby"", ""Self check-in"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Coffee maker: espresso machine"", ""Baking sheet"", ""Clothing storage: closet"", ""Books and reading material"", ""Essentials"", ""Dining table"", ""Extra pillows and blankets"", ""Blender"", ""Iron"", ""Air conditioning"", ""Free street parking"", ""Shower gel"", ""TV"", ""Wifi"", ""Crib - available upon request"", ""Long term stays allowed"", ""Microwave"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,15/10/2022,15/06/2025,Sin licencia,f,t,t,within an hour,20/07/2016,26770759.0,84941167,39.4664574,-0.3465052,4.0,1.0,1.0,1.0,85.0,1.0,365.0,1.0,1.0,1125,1125,1.0,1125.0,4,11,18,281,23.3,10.1,1.0,1.2,4.92,4.93,4.96,4.97,4.97,4.7,4.78,5.0,5.0,0.0,0.0
